ActivityID,StationID,Date_Tt,TP_mgL,PO4_mgL,NOx_mgL,TKN_mgL,NO3_mgL,NO2_mgL,TN_mgL,Bug_StationID,Type,Avg_NH_IBI_Score,Latitude,Longitude
A809931013,00-FCB,9/8/2008,0.046,,,,,,,,,,42.755958,-71.836969
A810628013,00-FCB,9/29/2008,0.029,,,0.4,,,,,,,42.755958,-71.836969
A809322013,00-FCB,8/26/2008,0.023,,0.18,,,,,,,,42.755958,-71.836969
RA06210008,00-LUV,6/21/2000,0.023,,,0.5,0.05,,,,,,43.641253,-72.126703
RA08180010,00-LUV,8/18/2000,0.021,,,0.52,0.05,,,,,,43.641253,-72.126703
RA07310010,00-LUV,7/31/2000,,,,,0.05,,,,,,43.641253,-72.126703
PALOOZA14-10,00-MHK,8/6/2014,0.00703,,0.19,,,,0.32,,,,44.900292,-71.50445
A309221006,00-MIP,11/1/2013,0.0101,,0.055,,,,,,,,43.001936,-71.661783
A308834006,00-MIP,10/5/2013,0.0156,,,,,,,,,,43.001936,-71.661783
A207184010,00-SCK,8/9/2012,0.01,,0.21,,0.21,,,00-SCK,Non-Ref,56.905,43.159989,-71.493178
A205978003,00-SCK,7/19/2012,0.012,,0.26,,0.25,,,00-SCK,Non-Ref,56.905,43.159989,-71.493178
A204562002,00-SCK,6/20/2012,0.016,,0.21,,0.21,,,00-SCK,Non-Ref,56.905,43.159989,-71.493178
0309133-38B,00-SMN,9/20/2003,,,,,0.39,0.016,,,,,42.748766,-71.442109
T005-G-EVENT1,00-SMN,6/25/2014,,0.01161375,0.27295977,,,,0.88552,,,,42.748766,-71.442109
0308173-16A,00-SMN,8/23/2003,0.017,,,1,,,,,,,42.748766,-71.442109
0307002-09B,00-SMN,6/30/2003,,,,,0.14,0.2,,,,,42.748766,-71.442109
0308173-03A,00-SMN,8/23/2003,,,,,0.18,0.029,,,,,42.748766,-71.442109
0308145-15A,00-SMN,8/20/2003,0.035,,,1.4,,,,,,,42.748766,-71.442109
0410113-04A,00-SMN,10/16/2004,0.069,,,1,,,,,,,42.748766,-71.442109
T069-G-LF1,00-SMN,7/27/2010,,0.003,0.33055554,,,,,,,,42.748766,-71.442109
T005-G-EVENT2,00-SMN,10/1/2015,,0.01426276,0.12957763,,,,0.81234,,,,42.748766,-71.442109
T169-G-LF2,00-SMN,9/21/2010,,0.00465,0.34428972,,,,,,,,42.748766,-71.442109
0309084-17B,00-SMN,9/12/2003,0.021,,,1,,,,,,,42.748766,-71.442109
0309133-38C,00-SMN,9/20/2003,0.031,,,1.4,,,,,,,42.748766,-71.442109
T005-G-EVENT3,00-SMN,8/10/2016,,0.02534226,0.37265937,,,,1.06494,,,,42.748766,-71.442109
0309084-17A,00-SMN,9/12/2003,,,,,0.28,0.03,,,,,42.748766,-71.442109
T069-G-HF1,00-SMN,5/17/2012,,0.00329749,0.28899022,,,,,,,,42.748766,-71.442109
0410113-04B,00-SMN,10/16/2004,,,,,0.0572,,,,,,42.748766,-71.442109
0307002-09D,00-SMN,6/30/2003,,,,1,,,,,,,42.748766,-71.442109
0307002-09A,00-SMN,6/30/2003,0.036,,,,,,,,,,42.748766,-71.442109
0308145-42A,00-SMN,8/20/2003,,,,,0.15,0.031,,,,,42.748766,-71.442109
2019-2921,00-SPK,7/23/2019,0.0896,,0.19,0.57,0.18,,0.76,,,,42.743375,-71.2088
2019-1699,00-SPK,6/26/2019,0.0476,,0.31,0.72,0.29,,1.03,,,,42.743375,-71.2088
AA29302,00-SPK,4/11/2003,,13,,,0.67,,,,,,42.743375,-71.2088
AA29870,00-SPK,5/9/2003,,,,,0.37,,,,,,42.743375,-71.2088
2019-4362,00-SPK,8/20/2019,0.0311,,0.26,0.4,0.25,,0.66,,,,42.743375,-71.2088
A61788-4,00-SQM,8/5/2003,,,,0.25,,,,,,,43.685678,-71.644647
A61788-5,00-SQM,8/5/2003,,,,0.25,,,,,,,43.685678,-71.644647
A59607-1,00-SQM,7/2/2003,,,0.05,,,,,,,,43.685678,-71.644647
A63407-1,00-SQM,8/27/2003,0.008,,0.05,0.4,,,0.45,,,,43.685678,-71.644647
A29667-14,00A-ASB,8/29/2001,0.027,0.01,0.37,0.3,,,0.67,,,,42.908464,-72.285683
A46793-20,00A-ASB,8/28/2002,0.018,0.01,,0.3,0.46,0.05,0.81,,,,42.908464,-72.285683
A29324-14,00A-ASB,8/23/2001,0.018,0.01,0.5,0.2,,,0.7,,,,42.908464,-72.285683
A28902-14,00A-ASB,8/16/2001,0.024,0.053,0.42,0.3,,,0.72,,,,42.908464,-72.285683
RA08180011,00A-LUV,8/18/2000,0.021,,,0.49,0.05,,,,,,43.642614,-72.126128
RA07310011,00A-LUV,7/31/2000,,,,,0.05,,,,,,43.642614,-72.126128
A27821-9,00A-POK,8/2/2001,0.057,0.102,0.05,0.7,,,0.75,,,,43.378864,-71.044828
A44781-16,00A-POK,8/1/2002,0.035,0.01,,0.5,0.5,0.5,1.5,,,,43.378864,-71.044828
A28290-9,00A-POK,8/8/2001,0.049,0.094,0.05,0.9,,,0.95,,,,43.378864,-71.044828
A44781-17,00A-POK,8/1/2002,0.037,0.01,,0.6,0.5,0.5,1.6,,,,43.378864,-71.044828
A308832004,00A-SOP,10/15/2013,,,0.053,,,,,96M-103,Not_Available,61.327,43.022572,-71.624964
2015-485,00A-SOP,5/19/2015,0.0169,,,,,,,96M-103,Not_Available,61.327,43.022572,-71.624964
A308834004,00A-SOP,10/5/2013,0.0105,,,,,,,96M-103,Not_Available,61.327,43.022572,-71.624964
A309221004,00A-SOP,11/1/2013,0.0116,,,,,,,96M-103,Not_Available,61.327,43.022572,-71.624964
A011016003,00B-RND,10/27/2010,0.016,,,,,,,,,,42.958855,-71.778063
A010878003,00B-RND,10/24/2010,0.016,,,,,,,,,,42.958855,-71.778063
2012-4682,00B-RND,9/5/2012,0.023,,,,,,,,,,42.958855,-71.778063
2011-4610,00B-RND,10/15/2011,0.019,,,,,,,,,,42.958855,-71.778063
2012-4687,00B-RND,9/21/2012,0.02,,,,,,,,,,42.958855,-71.778063
A110732003,00B-RND,11/6/2011,0.0093,,,,,,,,,,42.958855,-71.778063
2019-4455,00D-CORS,8/21/2019,0.0108,,0.089,,,,,00D-CORS,Not_Available,,44.801123,-71.193262
2019-2983,00D-CORS,7/24/2019,0.00656,,0.077,,0.077,,,00D-CORS,Not_Available,,44.801123,-71.193262
