BugStationID,Latitude,Longitude,Year,Med_IBI_Score,Med_IBI_Threshold,Index_Nar,DistCat_Tt,Med_NOx_mgL,Med_TP_mgL,Med_TKN_mgL,Med_NO3_mgL,Med_TN_mgL,Med_NO2_mgL,Med_Chla_uncorr,Med_NH3_mgL,Med_PO4_mgL
00-SCK,43.159989,-71.493267,2012,61.62112297,60.16,Above_Threshold,Non-Ref,0.21,0.012,0.015,0.21,,0.005,,,
00C-50,44.089375,-72.025019,2000,53.28954737,62.36,Below_Threshold,Non-Ref,,0.046,0.36,0.32,,,,,
00L-OTT,44.481117,-71.541219,2016,62.15540011,64.5,Below_Threshold,Ref,0.13,0.0271,0.27,0.13,,0.004,,,
00M-1,42.905639,-71.52374,2000,43.83213428,59,Below_Threshold,Non-Ref,,0.038,0.79,0.05,,,,,
00M-1,42.905639,-71.52374,2008,56.5333709,59,Below_Threshold,Non-Ref,0.003,0.027,0.49,,,,,,0.0047
00M-15,42.795559,-71.595888,2000,71.12118714,59,Above_Threshold,Non-Ref,,0.009,0.33,0.26,,,,,
00M-17,42.83583333,-71.47361111,2000,53.64476337,59,Below_Threshold,Non-Ref,,0.023,0.61,0.2,,,,,
00M-18,43.32338,-71.629579,2000,56.8219728,61.75,Below_Threshold,Non-Ref,,0.028,0.4,0.18,,,,,
00M-18,43.32338,-71.629579,2011,76.55007348,61.75,Above_Threshold,Non-Ref,0.205,0.024,0.015,0.195,,0.005,,,
00M-19,43.169031,-71.524747,2000,61.90363175,60.32,Above_Threshold,Non-Ref,,0.031,0.43,0.22,,,,,
00M-22,43.414598,-71.296292,2008,56.62515538,63.84,Below_Threshold,Non-Ref,0.003,0.011,0.1,,,,,,
00M-23,42.81138889,-71.35527778,2000,56.88241857,59,Below_Threshold,Non-Ref,,0.028,0.62,0.12,,,,,
00M-38,43.623118,-71.160411,2000,70.27434013,66,Above_Threshold,Non-Ref,,0.016,0.33,0.06,,,,,
00M-44,43.02538,-71.504638,2000,57.51890241,59.22,Below_Threshold,Non-Ref,,0.02,0.39,0.07,,,,,
00M-47,42.725176,-71.637641,2000,40.44016263,59,Below_Threshold,Non-Ref,,0.019,0.39,0.09,,,,,
00M-48,42.87083333,-71.49305556,2000,64.11771756,59,Above_Threshold,Non-Ref,,0.018,0.39,0.05,,,,,
00M-49,42.751649,-71.41934,2000,33.86491701,59,Below_Threshold,Non-Ref,,0.016,0.66,0.05,,,,,
00M-50,42.919813,-71.445941,2000,35.76974059,59,Below_Threshold,Non-Ref,,0.021,0.74,0.45,,,,,
00M-6,42.954269,-71.402184,2000,32.04092497,59,Below_Threshold,Non-Ref,,0.0305,0.67,0.31,,,,,
00M-7,43.327711,-71.488206,2000,51.15718523,61.31,Below_Threshold,Non-Ref,,0.034,0.48,0.05,,,,,
00M-8,43.32666667,-71.38777778,2000,69.27222049,63.62,Above_Threshold,Non-Ref,,0.025,0.26,0.07,,,,,
00P-28,43.070164,-70.775525,2000,42.85645426,59,Below_Threshold,Non-Ref,,0.043,0.8,0.14,,,,,
00P-30,42.996218,-71.149574,2000,43.35897872,59,Below_Threshold,Non-Ref,,0.019,0.47,0.09,,,,,
00P-32,43.174438,-70.91779,2000,36.45252373,59,Below_Threshold,Non-Ref,,0.021,0.45,0.06,,,,,
00P-45,43.29972222,-70.98222222,2000,51.21455503,59,Below_Threshold,Non-Ref,,0.1135,0.61,0.83,,,,0.225,
00S-36,44.044585,-71.124726,2000,45.90090368,66.66,Below_Threshold,Non-Ref,,0.005,0.1,0.27,,,,,
01-CBB,42.8823,-71.4626,2012,48.30121411,59,Below_Threshold,Non-Ref,1.7,0.023,0.25,1.7,,0.005,,,
01-CUB,44.40461,-71.73102,2016,91.48794419,64.5,Above_Threshold,Ref,0.061,0.00916,0.038,0.058,,0.004,,,
01-DIA,44.874619,-71.055314,2017,59.86033077,64.5,Below_Threshold,Ref,0.069,0.00968,0.08,0.062,,0.002,,,
01-DTB,43.052322,-72.295397,2014,71.59061858,64.5,Above_Threshold,Non-Ref,0.073,0.00955,,0.0955,,0.004,,,
01-EBP,44.030406,-71.679772,2012,63.75668059,64.5,Below_Threshold,Non-Ref,0.16639373,,,,,,,,0.0043354
01-EBP,44.030406,-71.679772,2013,75.02609923,64.5,Above_Threshold,Non-Ref,0.17,0.0175,0.26,,,,,,
01-GAL,44.256467,-71.831244,2018,67.42663215,64.5,Above_Threshold,Non-Ref,0.002,0.00778,0.08,0.003,,0.002,,,
01-GRB,43.137758,-72.404406,2011,72.10519631,61.75,Above_Threshold,Non-Ref,0.2,0.0075,0.015,0.19,,0.005,,,
01-GRE,43.038217,-72.453985,2011,68.79362215,61.75,Above_Threshold,Non-Ref,1.4,0.0155,0.015,1.4,,0.005,,,
01-HRT,42.848469,-71.674544,2010,56.93585745,59,Below_Threshold,Non-Ref,0.31,0.023,0.29,0.31,,0.005,,,
01-JWT,43.532479,-71.465398,2013,49.13962643,63,Below_Threshold,Non-Ref,0.11,0.0195,0.305,0.11,,0.004,0.82,,
01-JWT,43.532479,-71.465398,2015,48.60485048,63,Below_Threshold,Non-Ref,0.245,0.0148,0.465,0.24,,0.004,,,
01-JWT,43.532479,-71.465398,2016,46.68816011,63,Below_Threshold,Non-Ref,0.22,0.013,0.038,0.27,,0.004,,,
01-JWT,43.532479,-71.465398,2017,40.81523696,63,Below_Threshold,Non-Ref,0.27,0.0107,0.08,0.31,,0.002,,,
01-JWT,43.532479,-71.465398,2018,38.37909279,63,Below_Threshold,Non-Ref,0.22,0.01061,0.08,0.215,,0.002,,,
01-MSC,43.63383,-72.31739,2013,62.76609415,61.75,Above_Threshold,Non-Ref,0.064,0.0135,0.1425,0.059,,0.004,,,
01-MSC,43.63383,-72.31739,2014,71.95356238,61.75,Above_Threshold,Non-Ref,0.0955,0.00985,0.41,0.078,0.29,0.004,,,
01-MSC,43.63383,-72.31739,2015,69.93638,61.75,Above_Threshold,Non-Ref,0.037,0.0141,0.305,0.011,,0.004,,,
01-MSC,43.63383,-72.31739,2016,67.69886318,61.75,Above_Threshold,Non-Ref,0.072,0.0132,0.038,0.055,,0.004,,,
01-MSC,43.63383,-72.31739,2017,63.96814904,61.75,Above_Threshold,Non-Ref,0.071,0.00992,0.08,0.0585,,0.002,,,
01-MSC,43.63383,-72.31739,2018,64.46183313,61.75,Above_Threshold,Non-Ref,0.096,0.010095,0.08,0.089,,0.002,0.77,,
01-NIS,42.7052,-71.621,2016,51.44027133,59,Below_Threshold,Non-Ref,0.17,0.0129,0.25,0.16,,0.004,,,
01-PYS,45.085235,-71.320067,2013,78.29736573,72,Above_Threshold,Non-Ref,0.155,0.007695,,0.16,,0.004,,,
01-SGR,43.398329,-72.393798,2013,62.0654376,61.75,Above_Threshold,Non-Ref,0.27,0.0297,0.1475,0.1065,,0.004,3.19,,
01-SGR,43.398329,-72.393798,2014,67.21622088,61.75,Above_Threshold,Non-Ref,0.26,0.0228,0.46,0.19,0.68,0.004,,,
01-SGR,43.398329,-72.393798,2015,69.25625857,61.75,Above_Threshold,Non-Ref,0.3,0.0379,0.39,0.37,,0.004,7.08,,
01-SGR,43.398329,-72.393798,2016,61.39588424,61.75,Below_Threshold,Non-Ref,0.49,0.0524,0.3,0.44,,0.004,,,
01-SGR,43.398329,-72.393798,2017,72.83758324,61.75,Above_Threshold,Non-Ref,0.29,0.0201,0.26,0.26,,0.002,,,
01-SGR,43.398329,-72.393798,2018,66.7844893,61.75,Above_Threshold,Non-Ref,0.3,0.03115,0.215,0.29,,0.002,,,
01-STK,42.740614,-71.881642,2010,44.41463627,59,Below_Threshold,Non-Ref,0.7,0.02,0.07,0.7,,0.005,,,
01-TYB,42.736527,-72.232198,2013,65.99957815,62.96,Above_Threshold,Non-Ref,0.011,0.01201,0.305,0.0475,,0.004,,,
01-TYB,42.736527,-72.232198,2014,65.40872316,62.96,Above_Threshold,Non-Ref,0.011,0.01105,0.25,0.088,,0.004,,,
01-TYB,42.736527,-72.232198,2015,79.15486527,62.96,Above_Threshold,Non-Ref,0.0305,0.01345,0.3,0.011,,0.004,,,
01-TYB,42.736527,-72.232198,2016,71.96750611,62.96,Above_Threshold,Non-Ref,0.16,0.0216,0.31,0.15,,0.004,,,
01-TYB,42.736527,-72.232198,2017,67.89986926,62.96,Above_Threshold,Non-Ref,0.055,0.018,0.38,0.003,,0.002,,,
01-TYB,42.736527,-72.232198,2018,64.98469576,62.96,Above_Threshold,Non-Ref,0.002,0.0137,0.08,0.003,,0.002,,,
01-WIR,44.33127,-71.02778,2016,66.80419421,66.53,Above_Threshold,Ref,0.0335,0.00559,0.038,0.0315,,0.004,,,
01A-21,44.40083333,-71.23016667,2008,67.53530065,68.25,Below_Threshold,Non-Ref,0.11,0.0083,0.1,,,,,,
01AA-SGR,43.391279,-72.385598,2012,57.78832173,61.75,Below_Threshold,Non-Ref,0.41,0.046,0.42,0.4,,0.005,,,
01B-PRG,42.8534,-71.697537,2010,50.40376647,59,Below_Threshold,Non-Ref,0.072,0.028,0.36,0.066,,0.005,,,
01C-WAB,43.151923,-72.349074,2014,69.05511066,63.24,Above_Threshold,Non-Ref,0.058,0.00813,,0.0805,,0.004,,,
01H-EBP,44.039033,-71.666778,2013,79.81508408,64.5,Above_Threshold,Ref,0.13,5.00E-04,0.015,,,,,,
01K-HOB,43.069322,-70.778485,2013,39.75168052,59,Below_Threshold,Non-Ref,0.22,0.04,0.56,0.26,,0.004,,,
01K-HOB,43.069322,-70.778485,2014,42.63507267,59,Below_Threshold,Non-Ref,0.205,0.02845,0.49,0.19,,0.004,,,
01K-HOB,43.069322,-70.778485,2015,43.53152626,59,Below_Threshold,Non-Ref,0.21,0.0576,0.68,0.088,,0.004,,,
01K-HOB,43.069322,-70.778485,2016,35.00469997,59,Below_Threshold,Non-Ref,0.0925,0.0428,0.56,0.0805,,0.004,,,
01K-HOB,43.069322,-70.778485,2017,38.07752684,59,Below_Threshold,Non-Ref,0.27,0.0331,0.35,0.21,,0.002,,,
01K-HOB,43.069322,-70.778485,2018,43.79141957,59,Below_Threshold,Non-Ref,0.14,0.043,0.525,0.13,,0.002,,,
01M-TGR,43.442558,-71.517831,2015,64.36302509,64.33,Above_Threshold,Non-Ref,0.18,0.0359,0.34,0.17,,0.004,,,
01S-23,44.202,-71.2378,2008,54.78804751,72,Below_Threshold,Ref,0.03,4.00E-04,0.1,,,,,,
01T-MKB,43.69188,-72.27074,2013,66.96669799,61.75,Above_Threshold,Non-Ref,0.089,0.0101,0.015,0.086,,0.004,,,
01T-MKB,43.69188,-72.27074,2014,85.71242972,61.75,Above_Threshold,Non-Ref,0.165,0.006975,,0.165,0.22,0.004,,,
01T-MKB,43.69188,-72.27074,2015,69.61248419,61.75,Above_Threshold,Non-Ref,0.135,0.0139,0.1525,0.11,,0.004,,,
01T-MKB,43.69188,-72.27074,2016,84.48036969,61.75,Above_Threshold,Non-Ref,0.0555,0.006775,0.038,0.096,,0.004,,,
01T-MKB,43.69188,-72.27074,2017,61.47378765,61.75,Below_Threshold,Non-Ref,0.084,0.01078,0.08,0.065,,0.002,,,
01T-MKB,43.69188,-72.27074,2018,68.77642989,61.75,Above_Threshold,Non-Ref,0.12,0.00841,0.08,0.12,,0.002,,,
01T-SOP,42.9822339,-71.6823485,2013,66.60344372,59.66,Above_Threshold,Non-Ref,0.0355,0.01705,0.31,0.034,,0.004,2.14,,
01T-SOP,42.9822339,-71.6823485,2014,72.88780287,59.66,Above_Threshold,Non-Ref,0.1005,0.0178,,0.07,,0.004,,,
01T-SOP,42.9822339,-71.6823485,2015,64.71533188,59.66,Above_Threshold,Non-Ref,0.071,0.0116,0.27,0.061,,0.004,,,
01T-SOP,42.9822339,-71.6823485,2016,81.35302359,59.66,Above_Threshold,Non-Ref,0.064,0.01635,0.169,0.06,,0.004,,,
01T-SOP,42.9822339,-71.6823485,2017,69.94356053,59.66,Above_Threshold,Non-Ref,0.0835,0.0172,0.305,0.07,,0.002,,,
01T-SOP,42.9822339,-71.6823485,2018,63.41871692,59.66,Above_Threshold,Non-Ref,0.104,0.0199,0.36,0.1015,,0.002,,,
01X-OTB,42.971142,-72.214519,2013,84.83852834,64.5,Above_Threshold,Non-Ref,0.011,0.00937,0.015,0.011,,0.004,,,
01X-OTB,42.971142,-72.214519,2014,62.39363665,64.5,Below_Threshold,Non-Ref,0.011,0.00761,0.31,0.011,,0.004,,,
01X-OTB,42.971142,-72.214519,2015,70.47204772,64.5,Above_Threshold,Non-Ref,0.0355,0.00902,0.1575,0.057,,0.004,,,
01X-OTB,42.971142,-72.214519,2016,61.5010547,64.5,Below_Threshold,Non-Ref,0.098,0.0112,0.25,0.094,,0.004,,,
01X-OTB,42.971142,-72.214519,2017,60.81589086,64.5,Below_Threshold,Non-Ref,0.002,0.0107,0.185,0.003,,0.002,,,
01X-OTB,42.971142,-72.214519,2018,58.90018925,64.5,Below_Threshold,Non-Ref,0.078,0.01065,0.08,0.074,,0.002,,,
02-ASH,42.785895,-72.486461,2013,81.15874697,61.64,Above_Threshold,Non-Ref,0.087,0.0203,0.26,0.0465,,0.004,,,
02-ASH,42.785895,-72.486461,2014,74.08093475,61.64,Above_Threshold,Non-Ref,0.21,0.01575,0.31,0.19,0.34,0.004,,,
02-ASH,42.785895,-72.486461,2015,73.64040814,61.64,Above_Threshold,Non-Ref,0.19,0.0193,0.25,0.19,,0.004,,,
02-ASH,42.785895,-72.486461,2016,72.88269049,61.64,Above_Threshold,Non-Ref,0.255,0.0174,0.038,0.25,,0.004,,,
02-ASH,42.785895,-72.486461,2017,72.19095833,61.64,Above_Threshold,Non-Ref,0.1,0.023,0.41,0.08,,0.002,,,
02-ASH,42.785895,-72.486461,2018,69.7893988,61.64,Above_Threshold,Non-Ref,0.2435,0.01625,0.08,0.2435,,0.002,,,
02-BBO,43.14523,-71.35522,2013,80.65739365,59.44,Above_Threshold,Non-Ref,0.068,0.0171,0.1625,0.0405,,0.004,,,
02-BBO,43.14523,-71.35522,2014,81.69879079,59.44,Above_Threshold,Non-Ref,0.058,0.0163,0.36,0.011,,0.004,,,
02-BBO,43.14523,-71.35522,2015,74.57377508,59.44,Above_Threshold,Non-Ref,0.12,0.0217,0.39,0.15,,0.004,,,
02-BBO,43.14523,-71.35522,2016,78.489226,59.44,Above_Threshold,Non-Ref,0.084,0.0233,0.27,0.077,,0.004,,,
