BugStationID,Latitude,Longitude,Year,Med_IBI_Score,Med_IBI_Threshold,Index_Nar,DistCat_Tt,Med_TotTaxSc,Med_PlecTaxSc,Med_ChirPctSc,Med_NonInsPctSc,Med_ClingPctSc,Med_IntolPctSc,Med_TolerTaxSc,Med_NOx_mgL,Med_TP_mgL,Med_TKN_mgL,Med_NO3_mgL,Med_TN_mgL,Med_NO2_mgL,Med_Chla_uncorr,Med_NH3_mgL,Med_PO4_mgL
00-SCK,43.159989,-71.493267,2012,61.62112297,60.16,Above_Threshold,Non-Ref,52.66076949,18.95548255,81.07142857,100,83.05647841,11.73268256,83.87101921,0.21,0.012,0.015,0.21,,0.005,,,
00C-50,44.089375,-72.025019,2000,53.28954737,62.36,Below_Threshold,Non-Ref,44.01887205,22.7254365,68.31395349,93.02325581,55.77339102,11.65082664,77.52109606,,0.046,0.36,0.32,,,,,
00L-OTT,44.481117,-71.541219,2016,62.15540011,64.5,Below_Threshold,Ref,73.5742064,0,95.25641026,86.66666667,87.81915759,13.98295091,77.78840897,0.13,0.0271,0.27,0.13,,0.004,,,
00M-1,42.905639,-71.52374,2000,43.83213428,59,Below_Threshold,Non-Ref,37.21651126,22.39234786,57.43440233,96.20991254,4.622809559,5.74662003,83.20233635,,0.038,0.79,0.05,,,,,
00M-1,42.905639,-71.52374,2008,56.5333709,59,Below_Threshold,Non-Ref,52.96304188,0,84.48275862,98.27586207,86.48856429,4.943174094,68.58019537,0.003,0.027,0.49,,,,,,0.0047
00M-15,42.795559,-71.595888,2000,71.12118714,59,Above_Threshold,Non-Ref,64.53523532,30.89554766,89.44444444,100,72.82123561,40.15184698,100,,0.009,0.33,0.26,,,,,
00M-17,42.83583333,-71.47361111,2000,53.64476337,59,Below_Threshold,Non-Ref,68.60094402,41.97675673,51.66320166,97.92099792,44.17329999,20.89929817,50.27884513,,0.023,0.61,0.2,,,,,
00M-18,43.32338,-71.629579,2000,56.8219728,61.75,Below_Threshold,Non-Ref,44.32810378,22.72727271,59.38697318,100,40.09623095,31.215229,100,,0.028,0.4,0.18,,,,,
00M-18,43.32338,-71.629579,2011,76.55007348,61.75,Above_Threshold,Non-Ref,103.8729466,107.8812676,76.00700525,94.2206655,61.27745915,50.85943235,53.48595213,0.205,0.024,0.015,0.195,,0.005,,,
00M-19,43.169031,-71.524747,2000,61.90363175,60.32,Above_Threshold,Non-Ref,57.92227481,22.72727273,84.57943925,93.45794393,47.42052123,54.65017746,72.56779284,,0.031,0.43,0.22,,,,,
00M-22,43.414598,-71.296292,2008,56.62515538,63.84,Below_Threshold,Non-Ref,50.23147897,30.07524174,59.21568627,99.31372549,46.63599055,22.28749581,88.61646885,0.003,0.011,0.1,,,,,,
00M-23,42.81138889,-71.35527778,2000,56.88241857,59,Below_Threshold,Non-Ref,40.79845865,41.35083791,60.71126164,100,49.58710234,16.57874738,89.15052208,,0.028,0.62,0.12,,,,,
00M-38,43.623118,-71.160411,2000,70.27434013,66,Above_Threshold,Non-Ref,67.74783769,103.7195093,70.47619048,99.76190476,36.99788584,32.53863963,84.3979225,,0.016,0.33,0.06,,,,,
00M-44,43.02538,-71.504638,2000,57.51890241,59.22,Below_Threshold,Non-Ref,84.30980666,43.07516769,86.44366197,82.92253521,78.3506536,27.53049175,-7.898011886,,0.02,0.39,0.07,,,,,
00M-47,42.725176,-71.637641,2000,40.44016263,59,Below_Threshold,Non-Ref,22.64047831,0,85.2173913,89.56521739,11.03042559,6.855967548,67.7716583,,0.019,0.39,0.09,,,,,
00M-48,42.87083333,-71.49305556,2000,64.11771756,59,Above_Threshold,Non-Ref,51.24707583,61.22297656,69.5026178,99.60732984,61.57090201,31.13153676,74.54158411,,0.018,0.39,0.05,,,,,
00M-49,42.751649,-71.41934,2000,33.86491701,59,Below_Threshold,Non-Ref,59.66032138,0,25.56270096,94.85530547,15.29540526,3.380219799,38.30046619,,0.016,0.66,0.05,,,,,
00M-50,42.919813,-71.445941,2000,35.76974059,59,Below_Threshold,Non-Ref,62.62109081,22.72727273,53.33333333,60,7.04721635,5.694261936,38.96500895,,0.021,0.74,0.45,,,,,
00M-6,42.954269,-71.402184,2000,32.04092497,59,Below_Threshold,Non-Ref,51.81670848,10.05631537,61.30434783,61.95652174,9.536722125,1.713991887,27.90186739,,0.0305,0.67,0.31,,,,,
00M-7,43.327711,-71.488206,2000,51.15718523,61.31,Below_Threshold,Non-Ref,56.68628233,34.08299158,39.18128655,100,27.1997824,27.28020226,73.66975145,,0.034,0.48,0.05,,,,,
00M-8,43.32666667,-71.38777778,2000,69.27222049,63.62,Above_Threshold,Non-Ref,74.94270145,68.18068607,62.4,100,35.5179704,56.7674113,87.09677419,,0.025,0.26,0.07,,,,,
00P-28,43.070164,-70.775525,2000,42.85645426,59,Below_Threshold,Non-Ref,58.76416075,0,97.05488621,50.20080321,64.38721765,0.175911706,29.41220031,,0.043,0.8,0.14,,,,,
00P-30,42.996218,-71.149574,2000,43.35897872,59,Below_Threshold,Non-Ref,69.77718146,18.54137796,32.7991453,97.75641026,28.34697602,13.33715197,42.95460807,,0.019,0.47,0.09,,,,,
00P-32,43.174438,-70.91779,2000,36.45252373,59,Below_Threshold,Non-Ref,30.62410137,13.18735233,14.28571429,100,3.179195346,1.976030747,91.91527205,,0.021,0.45,0.06,,,,,
00P-45,43.29972222,-70.98222222,2000,51.21455503,59,Below_Threshold,Non-Ref,63.40746141,22.72727273,66.28455833,81.52393796,35.78256177,24.01283756,64.76325544,,0.1135,0.61,0.83,,,,0.225,
00S-36,44.044585,-71.124726,2000,45.90090368,66.66,Below_Threshold,Non-Ref,49.24796285,44.09306225,16.97722567,99.17184265,14.66346259,9.250114946,87.90265478,,0.005,0.1,0.27,,,,,
01-CBB,42.8823,-71.4626,2012,48.30121411,59,Below_Threshold,Non-Ref,37.20930233,0,89.8989899,94.94949495,46.98144233,1.327333785,67.74193548,1.7,0.023,0.25,1.7,,0.005,,,
