ActivityID,StationID,DistCat_Tt,BugThreshGroup,Latitude,Longitude,Date_Tt,NOx_mgL,TP_mgL,TKN_mgL,NO3_mgL,TN_mgL,NO2_mgL,Chla_Uncorr,Chla_corr,NH3_mgL,PO4_mgL,TDN_mgL,NH4_ugL
A810628013,00-FCB,,,42.755958,-71.836969,9/29/2008,0.003,0.029,0.4,,,,,,,,,
A809322013,00-FCB,,,42.755958,-71.836969,8/26/2008,0.18,0.023,0.1,,,,,,,,,
A809931013,00-FCB,,,42.755958,-71.836969,9/8/2008,0.003,0.046,,,,,,,,,,
RA08180010,00-LUV,,,43.641253,-72.126703,8/18/2000,,0.021,0.52,0.05,,,,,,,,
RA06210008,00-LUV,,,43.641253,-72.126703,6/21/2000,,0.023,0.5,0.05,,,,,,,,
RA07310010,00-LUV,,,43.641253,-72.126703,7/31/2000,,,,0.05,,,,,,,,
PALOOZA14-10,00-MHK,,,44.900292,-71.50445,8/6/2014,0.19,0.00703,,,0.32,,,,,,,
A309221006,00-MIP,,,43.001936,-71.661783,11/1/2013,0.055,0.0101,,,,,,,,,,
A308832006,00-MIP,,,43.001936,-71.661783,10/15/2013,0.011,,,,,,,,,,,
A308834006,00-MIP,,,43.001936,-71.661783,10/5/2013,,0.0156,,,,,,,,,,
A205978003,00-SCK,Non-Ref,Above_Threshold,43.159989,-71.493178,7/19/2012,0.26,0.012,0.015,0.25,,0.005,,,,,,
A207184010,00-SCK,Non-Ref,Above_Threshold,43.159989,-71.493178,8/9/2012,0.21,0.01,0.015,0.21,,0.005,,,,,,
A204562002,00-SCK,Non-Ref,Above_Threshold,43.159989,-71.493178,6/20/2012,0.21,0.016,0.015,0.21,,0.005,,,,,,
0307002-09B,00-SMN,,,42.748766,-71.442109,6/30/2003,,,,0.14,,0.2,,,,,,
25132,00-SMN,,,42.748766,-71.442109,8/20/2003,,,,,,,3.6,2.7,,,,
T005-G-EVENT1,00-SMN,,,42.748766,-71.442109,6/25/2014,0.27295977,,,,0.88552,,,6.1,,0.01161375,0.78949,
0410113-04A,00-SMN,,,42.748766,-71.442109,10/16/2004,,0.069,1,,,,,,1,,,
0309133-38C,00-SMN,,,42.748766,-71.442109,9/20/2003,,0.031,1.4,,,,,,1,,,
0308145-15A,00-SMN,,,42.748766,-71.442109,8/20/2003,,0.035,1.4,,,,,,1,,,
0309133-38B,00-SMN,,,42.748766,-71.442109,9/20/2003,,,,0.39,,0.016,,,,,,
T005-G-EVENT2,00-SMN,,,42.748766,-71.442109,10/1/2015,0.12957763,,,,0.81234,,,5.4,,0.01426276,0.689,
0309084-17B,00-SMN,,,42.748766,-71.442109,9/12/2003,,0.021,1,,,,,,1,,,
0308145-42A,00-SMN,,,42.748766,-71.442109,8/20/2003,,,,0.15,,0.031,,,,,,
0308173-03A,00-SMN,,,42.748766,-71.442109,8/23/2003,,,,0.18,,0.029,,,,,,
0307002-09A,00-SMN,,,42.748766,-71.442109,6/30/2003,,0.036,,,,,,,,,,
T069-G-HF1,00-SMN,,,42.748766,-71.442109,5/17/2012,0.28899022,,,,,,,,,0.00329749,,
24716,00-SMN,,,42.748766,-71.442109,6/30/2003,,,,,,,6.5,4.9,,,,
0410113-04B,00-SMN,,,42.748766,-71.442109,10/16/2004,,,,0.0572,,,,,,,,
0309084-17A,00-SMN,,,42.748766,-71.442109,9/12/2003,,,,0.28,,0.03,,,,,,
T169-G-LF2,00-SMN,,,42.748766,-71.442109,9/21/2010,0.34428972,,,,,,,3.3,,0.00465,,
0308173-16A,00-SMN,,,42.748766,-71.442109,8/23/2003,,0.017,1,,,,,,1,,,
T069-G-LF1,00-SMN,,,42.748766,-71.442109,7/27/2010,0.33055554,,,,,,,2.26582,,0.003,,
25594A,00-SMN,,,42.748766,-71.442109,9/12/2003,,,,,,,2.6,2.2,,,,
T005-G-EVENT3,00-SMN,,,42.748766,-71.442109,8/10/2016,0.37265937,,,,1.06494,,,7.9,,0.02534226,0.94672,
0307002-09D,00-SMN,,,42.748766,-71.442109,6/30/2003,,,1,,,,,,,,,
2019-2921,00-SPK,,,42.743375,-71.2088,7/23/2019,0.19,0.0896,0.57,0.18,,0.002,,,,,,
2019-4362,00-SPK,,,42.743375,-71.2088,8/20/2019,0.26,0.0311,0.4,0.25,,0.002,,,,,,
AA29870,00-SPK,,,42.743375,-71.2088,5/9/2003,,,,0.37,,,,,,,,
2019-1699,00-SPK,,,42.743375,-71.2088,6/26/2019,0.31,0.0476,0.72,0.29,,0.002,,,,,,
AA29302,00-SPK,,,42.743375,-71.2088,4/11/2003,,,,0.67,,,,,,13,,
A63407-1,00-SQM,,,43.685678,-71.644647,8/27/2003,0.05,0.008,0.4,,,,,,0.2,,,
A61788-5,00-SQM,,,43.685678,-71.644647,8/5/2003,,,0.25,,,,,,0.2,,,
A61788-4,00-SQM,,,43.685678,-71.644647,8/5/2003,,,0.25,,,,,,0.2,,,
A59607-1,00-SQM,,,43.685678,-71.644647,7/2/2003,0.05,,,,,,,,0.2,,,
A29667-14,00A-ASB,,,42.908464,-72.285683,8/29/2001,0.37,0.027,0.3,,,,6.19,,0.1,0.01,,
A28902-14,00A-ASB,,,42.908464,-72.285683,8/16/2001,0.42,0.024,0.3,,,,5.03,,0.1,0.053,,
A29324-14,00A-ASB,,,42.908464,-72.285683,8/23/2001,0.5,0.018,0.2,,,,4.15,,0.1,0.01,,
A46793-20,00A-ASB,,,42.908464,-72.285683,8/28/2002,,0.018,0.3,0.46,,0.05,4.05,,0.1,0.01,,
RA07310011,00A-LUV,,,43.642614,-72.126128,7/31/2000,,,,0.05,,,,,,,,
RA08180011,00A-LUV,,,43.642614,-72.126128,8/18/2000,,0.021,0.49,0.05,,,,,,,,
A44781-17,00A-POK,,,43.378864,-71.044828,8/1/2002,,0.037,0.6,0.5,,0.5,6.16,,0.1,0.01,,
A44781-16,00A-POK,,,43.378864,-71.044828,8/1/2002,,0.035,0.5,0.5,,0.5,10.9,,0.1,0.01,,
